L N N1 N2 N3 W S1 S2 S3 F1 F2 F3 C T T10 T25 T50 T75 T90
0 8 2 2 0 25000000 200 400 800 0.0 1.0 0.0 2 0.556729 0.462565 0.529696 0.556729 0.565079 0.584233
0 8 2 2 0 100000000 200 400 400 0.0 1.0 0.0 0 16.662486 11.766679 13.368271 16.662486 21.089999 21.625009
0 8 2 2 0 50000000 200 400 800 0.0 0.0 0.0 0 8.371818 8.244765 8.293631 8.371818 9.157136 9.258156
0 8 4 2 2 100000000 200 400 400 0.0 1.0 1.0 0 26.087960 25.563819 25.859120 26.087960 26.414703 26.502890
0 4 2 2 0 10000000 200 400 800 0.0 0.0 0.0 1 0.821573 0.806698 0.814889 0.821573 0.835871 0.857770
0 8 4 2 2 100000000 200 400 400 0.0 1.0 0.0 0 26.087960 25.563819 25.859120 26.087960 26.414703 26.502890
0 16 8 4 0 100000000 200 400 800 0.0 1.0 0.0 1 57.088057 44.155011 54.040829 57.088057 57.088127 59.236857
0 16 8 2 0 100000000 200 400 400 0.0 1.0 0.0 2 3.781676 3.542112 3.635497 3.781676 3.870534 3.901010
0 16 8 4 2 25000000 200 400 400 0.0 1.0 1.0 1 14.277482 11.375964 14.022681 14.277482 14.278164 15.096493
0 16 4 2 2 100000000 200 400 400 0.0 1.0 0.0 2 4.997376 1.484408 3.884293 4.997376 5.109746 5.154807
0 16 8 4 2 25000000 200 400 400 0.0 1.0 0.0 1 14.277394 11.034789 13.692309 14.277394 14.278076 14.719873
0 16 2 2 0 100000000 200 400 400 0.0 1.0 0.0 2 2.347325 1.365331 1.435801 2.347325 4.344693 4.515492
0 4 2 2 0 100000000 400 800 800 0.0 1.0 0.0 2 1.099231 1.072898 1.074741 1.099231 1.123237 1.125296
0 16 4 2 2 100000000 200 400 400 0.0 1.0 1.0 2 4.997376 1.484408 3.884293 4.997376 5.109746 5.154807
0 16 4 2 2 50000000 200 400 800 0.0 1.0 0.0 2 2.467040 0.772608 1.852969 2.467040 2.542970 2.577275
0 16 2 2 0 10000000 200 400 800 0.0 1.0 0.0 1 3.267603 2.310342 3.058096 3.267603 3.298158 3.423474
0 16 4 2 2 50000000 200 400 800 0.0 1.0 1.0 2 2.467040 0.772608 1.852969 2.467040 2.542970 2.577275
0 16 8 4 0 10000000 400 800 800 0.0 1.0 0.0 0 2.847728 1.975274 2.337399 2.847728 3.055929 3.102823
0 16 4 2 2 25000000 200 400 800 0.0 0.0 1.0 0 12.720717 10.504546 11.663912 12.720717 13.393088 13.788523
0 16 4 2 2 25000000 200 400 800 0.0 0.0 0.0 0 12.684428 10.800320 11.847219 12.684428 13.114445 13.381090
0 16 2 2 0 10000000 200 400 400 0.0 1.0 0.0 2 0.263930 0.159838 0.161955 0.263930 0.448272 0.465883
0 16 4 2 2 50000000 200 400 400 0.0 1.0 1.0 1 24.470937 18.988384 23.445019 24.470937 24.471015 25.452649
0 16 4 2 2 50000000 200 400 400 0.0 1.0 0.0 1 24.470937 18.988384 23.445019 24.470937 24.471015 25.452649
0 4 2 2 2 50000000 400 800 800 0.0 1.0 1.0 1 2.032452 1.925812 1.993029 2.032452 2.066435 2.123857
0 8 2 2 2 10000000 400 800 800 0.0 1.0 1.0 0 0.897946 0.723557 0.751808 0.897946 0.947020 0.981069
0 16 8 2 0 10000000 200 400 400 0.0 0.0 0.0 0 5.655441 3.971145 4.872091 5.655441 6.072169 6.230194
